trade_date,trade_time,open,high,low,close,volume,prev_daily_low,rsi,distance_to_prev_daily_low_pct,signal,forward_1,forward_3,forward_6
2023-06-22,05:00:00,14863.44,14867.94,14825.44,14837.44,3785,14834.14,19.83265786377281,0.022245981229792166,BULLISH_DAILY_LOW,0.13310921560592662,1.0446546034895507,1.00893415575732
2023-07-21,21:00:00,15538.64,15540.14,15412.39,15438.14,7996,15433.99,17.503421450695072,0.026888704735454905,BULLISH_DAILY_LOW,0.027529223079982436,0.25424047197395544,0.19270456155987703
2023-08-03,09:00:00,15383.64,15390.89,15261.29,15338.14,10116,15332.49,14.163795803319616,0.03684985282885973,BULLISH_DAILY_LOW,0.14506322148578643,0.22460350472743584,0.7214042902203361
2023-08-17,05:00:00,14864.14,14893.89,14847.64,14867.14,5663,14865.09,12.347110923660765,0.013790700224480796,BULLISH_DAILY_LOW,0.34808308793755893,-0.31445187171170785,-1.1041128286946895
2023-08-17,13:00:00,14919.64,14958.74,14849.64,14870.14,9440,14865.09,13.453169347208842,0.03397221274811839,BULLISH_DAILY_LOW,-0.334563090865318,-0.937449143047743,-1.8957454334659907
2023-08-18,09:00:00,14701.99,14723.24,14665.24,14678.74,8386,14683.14,17.99434558456666,-0.029966342349113585,BULLISH_DAILY_LOW,-0.6165379317298351,0.13182330363505562,0.7487018640564492
2023-10-20,01:00:00,14746.14,14749.14,14712.14,14730.64,5727,14731.69,19.264567869635854,-0.0071274918220590525,BULLISH_DAILY_LOW,-0.05091428478328165,0.008485714130546941,-0.8020696996192945
2023-10-20,05:00:00,14730.39,14750.64,14721.44,14723.14,4407,14731.69,13.807944050927958,-0.05803814769385652,BULLISH_DAILY_LOW,0.13584058835275628,-0.3514875223627569,-0.8211563565924093
2023-10-20,09:00:00,14722.14,14781.64,14690.89,14743.14,8816,14731.69,17.697500456121134,0.07772360129760338,BULLISH_DAILY_LOW,-0.07630667551145821,-1.3402843627612473,-2.0680804767505405
2023-10-20,13:00:00,14742.64,14779.89,14699.14,14731.89,11936,14731.69,15.760225926938134,0.0013576174899071905,BULLISH_DAILY_LOW,-0.4106737153209805,-0.8104866381706599,-1.317889286439144
2024-01-03,13:00:00,16503.24,16509.99,16426.79,16452.24,10128,16467.59,8.784010749076174,-0.09321339673867605,BULLISH_DAILY_LOW,-0.14010250275952035,-0.32305631330445855,-0.8874171541382925
2024-01-04,17:00:00,16307.24,16431.99,16294.24,16354.49,13608,16366.84,17.355840839775695,-0.07545744933047775,BULLISH_DAILY_LOW,-0.3638144631841164,-0.5720141685861148,-0.09508092273130665
2024-02-21,17:00:00,17426.49,17477.99,17382.64,17405.74,63238,17405.49,19.896113533067464,0.0014363284228137213,BULLISH_DAILY_LOW,1.3871860662057292,2.155036212192061,3.442542517583263
2024-04-16,09:00:00,17711.44,17731.69,17672.19,17692.94,9009,17687.09,15.73994867408041,0.033074971631843024,BULLISH_DAILY_LOW,0.29531553263618143,0.2662078772663118,0.48889557077568796
2024-05-31,05:00:00,18496.46,18508.96,18468.46,18477.09,6454,18483.3,16.999608942188374,-0.03359789647952004,BULLISH_DAILY_LOW,0.023001457480588124,-1.027109788391997,0.6333789574007532
2024-05-31,09:00:00,18477.34,18513.71,18456.09,18481.34,7928,18483.3,18.768906328326054,-0.010604167004805024,BULLISH_DAILY_LOW,0.048156681279612056,0.24430046739035943,0.7191037013549962
2024-09-04,09:00:00,18806.69,18895.04,18784.09,18875.43,11257,18863.8,15.726367955439343,0.06165247723152822,BULLISH_DAILY_LOW,0.26590122715084474,0.21822019418894664,0.10156060020883367
2025-02-25,05:00:00,21374.12,21380.99,21345.74,21357.99,6089,21340.88,18.186426256811444,0.08017476317752867,BULLISH_DAILY_LOW,-0.5899431547631588,-1.0389086238920564,-0.6701005103944829
2025-03-11,01:00:00,19425.36,19432.24,19115.11,19227.74,10754,19241.55,17.800063147449237,-0.0717717647486698,BULLISH_DAILY_LOW,1.1506812553113366,1.381441604681564,1.1428800264617682
2026-02-13,09:00:00,24627.04,24721.31,24588.69,24642.06,15036,24639.61,18.60278344305783,0.009943339200582832,BULLISH_DAILY_LOW,-0.1247866452723514,0.20282395221827867,0.6488093933705111
